tt0111161,The Shawshank Redemption,1994,0
tt0068646,The Godfather,1972,0
tt0071562,The Godfather: Part II,1974,0
tt0468569,The Dark Knight,2008,0
tt0050083,12 Angry Men,1957,0
tt0108052,Schindler's List,1993,0
tt0110912,Pulp Fiction,1994,0
tt0167260,The Lord of the Rings: The Return of the King,2003,0
tt0060196,"The Good, the Bad and the Ugly",1966,0
tt0137523,Fight Club,1999,0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,0
tt0109830,Forrest Gump,1994,0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,0
tt1375666,Inception,2010,0
tt0167261,The Lord of the Rings: The Two Towers,2002,0
tt0073486,One Flew Over the Cuckoo's Nest,1975,0
tt0099685,Goodfellas,1990,0
tt0133093,The Matrix,1999,0
tt0047478,Seven Samurai,1954,0
tt0076759,Star Wars: Episode IV - A New Hope,1977,0
tt0317248,City of God,2002,0
tt0114369,Se7en,1995,0
tt0102926,The Silence of the Lambs,1991,0
tt0038650,It's a Wonderful Life,1946,0
tt0118799,Life Is Beautiful,1997,0
tt0114814,The Usual Suspects,1995,0
tt0110413,Léon: The Professional,1994,0
tt0120815,Saving Private Ryan,1998,0
tt0245429,Spirited Away,2001,0
tt0064116,Once Upon a Time in the West,1968,0
tt0120586,American History X,1998,0
tt0816692,Interstellar,2014,0
tt0054215,Psycho,1960,0
tt0034583,Casablanca,1942,0
tt0021749,City Lights,1931,0
tt0120689,The Green Mile,1999,0
tt1675434,The Intouchables,2011,0
tt0027977,Modern Times,1936,0
tt0082971,Raiders of the Lost Ark,1981,0
tt0047396,Rear Window,1954,0
tt0253474,The Pianist,2002,0
tt0407887,The Departed,2006,0
tt0103064,Terminator 2: Judgment Day,1991,0
tt0088763,Back to the Future,1985,0
tt2582802,Whiplash,2014,0
tt0172495,Gladiator,2000,0
tt0209144,Memento,2000,0
tt0482571,The Prestige,2006,0
tt0110357,The Lion King,1994,0
tt0078788,Apocalypse Now,1979,0
tt0078748,Alien,1979,0
tt0043014,Sunset Boulevard,1950,0
